,player_id,match_id,team,opposition_team,number,position,captain
0,307,4011,WESTS TIGERS,"St George Illawarra
DRAGONS",1,FB,True
0,1617,4011,"St George Illawarra
DRAGONS",WESTS TIGERS,1,FB,False
0,308,4011,WESTS TIGERS,"St George Illawarra
DRAGONS",2,W,False
0,1575,4011,"St George Illawarra
DRAGONS",WESTS TIGERS,2,W,False
0,2245,4011,WESTS TIGERS,"St George Illawarra
DRAGONS",3,C,False
0,803,4011,"St George Illawarra
DRAGONS",WESTS TIGERS,3,C,False
0,310,4011,WESTS TIGERS,"St George Illawarra
DRAGONS",4,C,False
0,804,4011,"St George Illawarra
DRAGONS",WESTS TIGERS,4,C,False
0,140,4011,WESTS TIGERS,"St George Illawarra
DRAGONS",5,W,False
0,1618,4011,"St George Illawarra
DRAGONS",WESTS TIGERS,5,W,False
0,312,4011,WESTS TIGERS,"St George Illawarra
DRAGONS",6,FE,False
0,806,4011,"St George Illawarra
DRAGONS",WESTS TIGERS,6,FE,True
0,59,4011,WESTS TIGERS,"St George Illawarra
DRAGONS",7,HB,False
0,801,4011,"St George Illawarra
DRAGONS",WESTS TIGERS,7,HB,False
0,322,4011,WESTS TIGERS,"St George Illawarra
DRAGONS",8,FR,False
0,808,4011,"St George Illawarra
DRAGONS",WESTS TIGERS,8,FR,False
0,319,4011,WESTS TIGERS,"St George Illawarra
DRAGONS",9,HK,False
0,809,4011,"St George Illawarra
DRAGONS",WESTS TIGERS,9,HK,False
0,315,4011,WESTS TIGERS,"St George Illawarra
DRAGONS",10,FR,False
0,810,4011,"St George Illawarra
DRAGONS",WESTS TIGERS,10,FR,False
0,316,4011,WESTS TIGERS,"St George Illawarra
DRAGONS",11,2R,False
0,816,4011,"St George Illawarra
DRAGONS",WESTS TIGERS,11,2R,False
0,314,4011,WESTS TIGERS,"St George Illawarra
DRAGONS",12,2R,False
0,1357,4011,"St George Illawarra
DRAGONS",WESTS TIGERS,12,2R,False
0,318,4011,WESTS TIGERS,"St George Illawarra
DRAGONS",13,L,False
0,2340,4011,"St George Illawarra
DRAGONS",WESTS TIGERS,13,L,False
0,3508,4011,WESTS TIGERS,"St George Illawarra
DRAGONS",14,B,False
0,813,4011,"St George Illawarra
DRAGONS",WESTS TIGERS,14,B,False
0,1592,4011,WESTS TIGERS,"St George Illawarra
DRAGONS",15,B,False
0,1620,4011,"St George Illawarra
DRAGONS",WESTS TIGERS,15,B,False
0,1605,4011,WESTS TIGERS,"St George Illawarra
DRAGONS",16,B,False
0,2717,4011,"St George Illawarra
DRAGONS",WESTS TIGERS,16,B,False
0,313,4011,WESTS TIGERS,"St George Illawarra
DRAGONS",17,B,False
0,1453,4011,"St George Illawarra
DRAGONS",WESTS TIGERS,17,B,False
0,1614,4006,"Newcastle
KNIGHTS","Parramatta
EELS",1,FB,False
0,757,4006,"Parramatta
EELS","Newcastle
KNIGHTS",1,FB,False
0,2125,4006,"Newcastle
KNIGHTS","Parramatta
EELS",2,W,False
0,758,4006,"Parramatta
EELS","Newcastle
KNIGHTS",2,W,False
0,272,4006,"Newcastle
KNIGHTS","Parramatta
EELS",3,C,False
0,1399,4006,"Parramatta
EELS","Newcastle
KNIGHTS",3,C,False
0,273,4006,"Newcastle
KNIGHTS","Parramatta
EELS",4,C,False
0,760,4006,"Parramatta
EELS","Newcastle
KNIGHTS",4,C,False
0,1392,4006,"Newcastle
KNIGHTS","Parramatta
EELS",5,W,False
0,761,4006,"Parramatta
EELS","Newcastle
KNIGHTS",5,W,False
0,275,4006,"Newcastle
KNIGHTS","Parramatta
EELS",6,FE,False
0,762,4006,"Parramatta
EELS","Newcastle
KNIGHTS",6,FE,False
0,276,4006,"Newcastle
KNIGHTS","Parramatta
EELS",7,HB,True
0,763,4006,"Parramatta
EELS","Newcastle
KNIGHTS",7,HB,False
0,283,4006,"Newcastle
KNIGHTS","Parramatta
EELS",8,FR,False
0,764,4006,"Parramatta
EELS","Newcastle
KNIGHTS",8,FR,True
0,782,4006,"Newcastle
KNIGHTS","Parramatta
EELS",9,HK,False
0,770,4006,"Parramatta
EELS","Newcastle
KNIGHTS",9,HK,False
0,1394,4006,"Newcastle
KNIGHTS","Parramatta
EELS",10,FR,False
0,766,4006,"Parramatta
EELS","Newcastle
KNIGHTS",10,FR,False
0,277,4006,"Newcastle
KNIGHTS","Parramatta
EELS",11,2R,False
0,768,4006,"Parramatta
EELS","Newcastle
KNIGHTS",13,2R,False
0,1616,4006,"Newcastle
KNIGHTS","Parramatta
EELS",12,2R,False
0,769,4006,"Parramatta
EELS","Newcastle
KNIGHTS",12,2R,False
0,281,4006,"Newcastle
KNIGHTS","Parramatta
EELS",13,L,False
0,759,4006,"Parramatta
EELS","Newcastle
KNIGHTS",19,L,False
0,783,4006,"Newcastle
KNIGHTS","Parramatta
EELS",14,B,False
0,767,4006,"Parramatta
EELS","Newcastle
KNIGHTS",11,B,False
0,784,4006,"Newcastle
KNIGHTS","Parramatta
EELS",15,B,False
0,771,4006,"Parramatta
EELS","Newcastle
KNIGHTS",15,B,False
0,2119,4006,"Newcastle
KNIGHTS","Parramatta
EELS",16,B,False
0,3512,4006,"Parramatta
EELS","Newcastle
KNIGHTS",16,B,False
0,279,4006,"Newcastle
KNIGHTS","Parramatta
EELS",17,B,False
0,773,4006,"Parramatta
EELS","Newcastle
KNIGHTS",17,B,False
0,138,4012,BULLDOGS,"Penrith
PANTHERS",1,FB,False
0,323,4012,"Penrith
PANTHERS",BULLDOGS,1,FB,False
0,139,4012,BULLDOGS,"Penrith
PANTHERS",2,W,False
0,1298,4012,"Penrith
PANTHERS",BULLDOGS,2,W,False
0,753,4012,BULLDOGS,"Penrith
PANTHERS",3,C,False
0,325,4012,"Penrith
PANTHERS",BULLDOGS,3,C,False
0,141,4012,BULLDOGS,"Penrith
PANTHERS",4,C,False
0,324,4012,"Penrith
PANTHERS",BULLDOGS,4,C,False
0,1360,4012,BULLDOGS,"Penrith
PANTHERS",5,W,False
0,1356,4012,"Penrith
PANTHERS",BULLDOGS,5,W,False
0,1619,4012,BULLDOGS,"Penrith
PANTHERS",6,FE,False
0,328,4012,"Penrith
PANTHERS",BULLDOGS,6,FE,False
0,144,4012,BULLDOGS,"Penrith
PANTHERS",7,HB,False
0,329,4012,"Penrith
PANTHERS",BULLDOGS,7,HB,False
0,152,4012,BULLDOGS,"Penrith
PANTHERS",8,FR,False
0,330,4012,"Penrith
PANTHERS",BULLDOGS,8,FR,False
0,151,4012,BULLDOGS,"Penrith
PANTHERS",9,HK,False
0,331,4012,"Penrith
PANTHERS",BULLDOGS,9,HK,False
0,147,4012,BULLDOGS,"Penrith
PANTHERS",10,FR,False
0,2309,4012,"Penrith
PANTHERS",BULLDOGS,10,FR,False
0,1641,4012,BULLDOGS,"Penrith
PANTHERS",11,2R,False
0,2760,4012,"Penrith
PANTHERS",BULLDOGS,11,2R,False
0,149,4012,BULLDOGS,"Penrith
PANTHERS",12,2R,True
0,1416,4012,"Penrith
PANTHERS",BULLDOGS,12,2R,True
0,150,4012,BULLDOGS,"Penrith
PANTHERS",13,L,False
0,778,4012,"Penrith
PANTHERS",BULLDOGS,13,L,False
0,146,4012,BULLDOGS,"Penrith
PANTHERS",14,B,False
0,338,4012,"Penrith
PANTHERS",BULLDOGS,14,B,False
0,1328,4012,BULLDOGS,"Penrith
PANTHERS",15,B,False
0,1577,4012,"Penrith
PANTHERS",BULLDOGS,15,B,False
0,153,4012,BULLDOGS,"Penrith
PANTHERS",16,B,False
0,333,4012,"Penrith
PANTHERS",BULLDOGS,16,B,False
0,2329,4012,BULLDOGS,"Penrith
PANTHERS",17,B,False
0,2421,4012,"Penrith
PANTHERS",BULLDOGS,17,B,False
0,820,4008,"Manly Warringah
SEA EAGLES","Canberra
RAIDERS",1,FB,False
0,1290,4008,"Canberra
RAIDERS","Manly Warringah
SEA EAGLES",1,FB,True
0,821,4008,"Manly Warringah
SEA EAGLES","Canberra
RAIDERS",2,W,False
0,3513,4008,"Canberra
RAIDERS","Manly Warringah
SEA EAGLES",2,W,False
0,737,4008,"Manly Warringah
SEA EAGLES","Canberra
RAIDERS",3,C,False
