,player_id,match_id,team,opposition_team,number,position,captain
0,31554,45777,"St George Illawarra (W)
DRAGONS","Gold Coast (W)
TITANS",1,FB,False
0,30269,45777,"Gold Coast (W)
TITANS","St George Illawarra (W)
DRAGONS",1,FB,False
0,30439,45777,"St George Illawarra (W)
DRAGONS","Gold Coast (W)
TITANS",2,W,False
0,30097,45777,"Gold Coast (W)
TITANS","St George Illawarra (W)
DRAGONS",2,W,False
0,30258,45777,"St George Illawarra (W)
DRAGONS","Gold Coast (W)
TITANS",3,C,False
0,31560,45777,"Gold Coast (W)
TITANS","St George Illawarra (W)
DRAGONS",3,C,False
0,31555,45777,"St George Illawarra (W)
DRAGONS","Gold Coast (W)
TITANS",4,C,False
0,31561,45777,"Gold Coast (W)
TITANS","St George Illawarra (W)
DRAGONS",4,C,False
0,30190,45777,"St George Illawarra (W)
DRAGONS","Gold Coast (W)
TITANS",5,W,False
0,31562,45777,"Gold Coast (W)
TITANS","St George Illawarra (W)
DRAGONS",5,W,False
0,31556,45777,"St George Illawarra (W)
DRAGONS","Gold Coast (W)
TITANS",6,FE,False
0,31563,45777,"Gold Coast (W)
TITANS","St George Illawarra (W)
DRAGONS",6,FE,False
0,31557,45777,"St George Illawarra (W)
DRAGONS","Gold Coast (W)
TITANS",7,HB,False
0,30134,45777,"Gold Coast (W)
TITANS","St George Illawarra (W)
DRAGONS",7,HB,False
0,30259,45777,"St George Illawarra (W)
DRAGONS","Gold Coast (W)
TITANS",8,FR,False
0,30266,45777,"Gold Coast (W)
TITANS","St George Illawarra (W)
DRAGONS",8,FR,False
0,30161,45777,"St George Illawarra (W)
DRAGONS","Gold Coast (W)
TITANS",9,HK,False
0,30137,45777,"Gold Coast (W)
TITANS","St George Illawarra (W)
DRAGONS",9,HK,True
0,30158,45777,"St George Illawarra (W)
DRAGONS","Gold Coast (W)
TITANS",10,FR,True
0,30275,45777,"Gold Coast (W)
TITANS","St George Illawarra (W)
DRAGONS",10,FR,False
0,30262,45777,"St George Illawarra (W)
DRAGONS","Gold Coast (W)
TITANS",11,2R,False
0,31564,45777,"Gold Coast (W)
TITANS","St George Illawarra (W)
DRAGONS",11,2R,False
0,30198,45777,"St George Illawarra (W)
DRAGONS","Gold Coast (W)
TITANS",12,2R,False
0,30103,45777,"Gold Coast (W)
TITANS","St George Illawarra (W)
DRAGONS",12,2R,False
0,30159,45777,"St George Illawarra (W)
DRAGONS","Gold Coast (W)
TITANS",13,L,False
0,30116,45777,"Gold Coast (W)
TITANS","St George Illawarra (W)
DRAGONS",13,L,False
