,player_id,match_id,team,opposition_team,number,position,captain
0,30093,44896,"Sydney (W)
ROOSTERS",NEW ZEALAND WARRIORS (W),1,FB,False
0,30110,44896,NEW ZEALAND WARRIORS (W),"Sydney (W)
ROOSTERS",1,FB,False
0,30094,44896,"Sydney (W)
ROOSTERS",NEW ZEALAND WARRIORS (W),2,W,False
0,30111,44896,NEW ZEALAND WARRIORS (W),"Sydney (W)
ROOSTERS",2,W,False
0,30095,44896,"Sydney (W)
ROOSTERS",NEW ZEALAND WARRIORS (W),3,C,False
0,30112,44896,NEW ZEALAND WARRIORS (W),"Sydney (W)
ROOSTERS",3,C,False
0,30096,44896,"Sydney (W)
ROOSTERS",NEW ZEALAND WARRIORS (W),4,C,False
0,30113,44896,NEW ZEALAND WARRIORS (W),"Sydney (W)
ROOSTERS",14,C,False
0,30097,44896,"Sydney (W)
ROOSTERS",NEW ZEALAND WARRIORS (W),5,W,False
0,30114,44896,NEW ZEALAND WARRIORS (W),"Sydney (W)
ROOSTERS",5,W,False
0,30098,44896,"Sydney (W)
ROOSTERS",NEW ZEALAND WARRIORS (W),6,FE,False
0,30115,44896,NEW ZEALAND WARRIORS (W),"Sydney (W)
ROOSTERS",6,FE,True
0,30099,44896,"Sydney (W)
ROOSTERS",NEW ZEALAND WARRIORS (W),7,HB,False
0,30116,44896,NEW ZEALAND WARRIORS (W),"Sydney (W)
ROOSTERS",7,HB,False
0,30100,44896,"Sydney (W)
ROOSTERS",NEW ZEALAND WARRIORS (W),8,FR,True
0,33613,44896,NEW ZEALAND WARRIORS (W),"Sydney (W)
ROOSTERS",8,FR,False
0,30101,44896,"Sydney (W)
ROOSTERS",NEW ZEALAND WARRIORS (W),9,HK,False
0,30118,44896,NEW ZEALAND WARRIORS (W),"Sydney (W)
ROOSTERS",9,HK,False
0,30102,44896,"Sydney (W)
ROOSTERS",NEW ZEALAND WARRIORS (W),10,FR,False
0,30119,44896,NEW ZEALAND WARRIORS (W),"Sydney (W)
ROOSTERS",10,FR,False
0,30103,44896,"Sydney (W)
ROOSTERS",NEW ZEALAND WARRIORS (W),11,2R,False
0,30120,44896,NEW ZEALAND WARRIORS (W),"Sydney (W)
ROOSTERS",4,2R,False
0,30104,44896,"Sydney (W)
ROOSTERS",NEW ZEALAND WARRIORS (W),12,2R,False
0,30121,44896,NEW ZEALAND WARRIORS (W),"Sydney (W)
ROOSTERS",12,2R,False
0,30105,44896,"Sydney (W)
ROOSTERS",NEW ZEALAND WARRIORS (W),13,L,False
0,30122,44896,NEW ZEALAND WARRIORS (W),"Sydney (W)
ROOSTERS",13,L,False
