,player_id,match_id,team,opposition_team,number,position,captain
0,30182,44903,"Sydney (W)
ROOSTERS",NEW ZEALAND WARRIORS (W),1,FB,False
0,30110,44903,NEW ZEALAND WARRIORS (W),"Sydney (W)
ROOSTERS",1,FB,False
0,30097,44903,"Sydney (W)
ROOSTERS",NEW ZEALAND WARRIORS (W),2,W,False
0,30114,44903,NEW ZEALAND WARRIORS (W),"Sydney (W)
ROOSTERS",2,W,False
0,30095,44903,"Sydney (W)
ROOSTERS",NEW ZEALAND WARRIORS (W),3,C,False
0,30188,44903,NEW ZEALAND WARRIORS (W),"Sydney (W)
ROOSTERS",3,C,False
0,30096,44903,"Sydney (W)
ROOSTERS",NEW ZEALAND WARRIORS (W),4,C,False
0,30189,44903,NEW ZEALAND WARRIORS (W),"Sydney (W)
ROOSTERS",4,C,False
0,30183,44903,"Sydney (W)
ROOSTERS",NEW ZEALAND WARRIORS (W),5,W,False
0,30190,44903,NEW ZEALAND WARRIORS (W),"Sydney (W)
ROOSTERS",5,W,False
0,30184,44903,"Sydney (W)
ROOSTERS",NEW ZEALAND WARRIORS (W),6,FE,False
0,30191,44903,NEW ZEALAND WARRIORS (W),"Sydney (W)
ROOSTERS",6,FE,False
0,30153,44903,"Sydney (W)
ROOSTERS",NEW ZEALAND WARRIORS (W),7,HB,False
0,30192,44903,NEW ZEALAND WARRIORS (W),"Sydney (W)
ROOSTERS",7,HB,False
0,30166,44903,"Sydney (W)
ROOSTERS",NEW ZEALAND WARRIORS (W),8,FR,True
0,33613,44903,NEW ZEALAND WARRIORS (W),"Sydney (W)
ROOSTERS",8,FR,False
0,30106,44903,"Sydney (W)
ROOSTERS",NEW ZEALAND WARRIORS (W),9,HK,False
0,30118,44903,NEW ZEALAND WARRIORS (W),"Sydney (W)
ROOSTERS",9,HK,False
0,30104,44903,"Sydney (W)
ROOSTERS",NEW ZEALAND WARRIORS (W),10,FR,False
0,30119,44903,NEW ZEALAND WARRIORS (W),"Sydney (W)
ROOSTERS",10,FR,False
0,30175,44903,"Sydney (W)
ROOSTERS",NEW ZEALAND WARRIORS (W),11,2R,False
0,30193,44903,NEW ZEALAND WARRIORS (W),"Sydney (W)
ROOSTERS",11,2R,False
0,30163,44903,"Sydney (W)
ROOSTERS",NEW ZEALAND WARRIORS (W),12,2R,False
0,30171,44903,NEW ZEALAND WARRIORS (W),"Sydney (W)
ROOSTERS",12,2R,False
0,30100,44903,"Sydney (W)
ROOSTERS",NEW ZEALAND WARRIORS (W),13,L,False
0,30116,44903,NEW ZEALAND WARRIORS (W),"Sydney (W)
ROOSTERS",13,L,True
0,30105,44903,"Sydney (W)
ROOSTERS",NEW ZEALAND WARRIORS (W),14,B,False
0,30194,44903,NEW ZEALAND WARRIORS (W),"Sydney (W)
ROOSTERS",14,B,False
0,30185,44903,"Sydney (W)
ROOSTERS",NEW ZEALAND WARRIORS (W),15,B,False
0,30195,44903,NEW ZEALAND WARRIORS (W),"Sydney (W)
ROOSTERS",16,B,False
0,30186,44903,"Sydney (W)
ROOSTERS",NEW ZEALAND WARRIORS (W),16,B,False
0,30123,44903,NEW ZEALAND WARRIORS (W),"Sydney (W)
ROOSTERS",21,B,False
0,30187,44903,"Sydney (W)
ROOSTERS",NEW ZEALAND WARRIORS (W),17,B,False
0,30120,44903,NEW ZEALAND WARRIORS (W),"Sydney (W)
ROOSTERS",24,B,False
0,30093,44904,"St George Illawarra (W)
DRAGONS","Brisbane (W)
BRONCOS",1,FB,False
0,30129,44904,"Brisbane (W)
BRONCOS","St George Illawarra (W)
DRAGONS",1,FB,False
0,30196,44904,"St George Illawarra (W)
DRAGONS","Brisbane (W)
BRONCOS",2,W,False
0,30201,44904,"Brisbane (W)
BRONCOS","St George Illawarra (W)
DRAGONS",2,W,False
0,30150,44904,"St George Illawarra (W)
DRAGONS","Brisbane (W)
BRONCOS",3,C,False
0,30202,44904,"Brisbane (W)
BRONCOS","St George Illawarra (W)
DRAGONS",3,C,False
0,30197,44904,"St George Illawarra (W)
DRAGONS","Brisbane (W)
BRONCOS",4,C,False
0,30132,44904,"Brisbane (W)
BRONCOS","St George Illawarra (W)
DRAGONS",4,C,False
0,30152,44904,"St George Illawarra (W)
DRAGONS","Brisbane (W)
BRONCOS",5,W,False
0,30133,44904,"Brisbane (W)
BRONCOS","St George Illawarra (W)
DRAGONS",5,W,False
0,30134,44904,"St George Illawarra (W)
DRAGONS","Brisbane (W)
BRONCOS",6,FE,False
0,30154,44904,"Brisbane (W)
BRONCOS","St George Illawarra (W)
DRAGONS",6,FE,False
0,30099,44904,"St George Illawarra (W)
DRAGONS","Brisbane (W)
BRONCOS",7,HB,False
0,30135,44904,"Brisbane (W)
BRONCOS","St George Illawarra (W)
DRAGONS",7,HB,True
0,30139,44904,"St George Illawarra (W)
DRAGONS","Brisbane (W)
BRONCOS",8,FR,False
0,30203,44904,"Brisbane (W)
BRONCOS","St George Illawarra (W)
DRAGONS",8,FR,False
0,30137,44904,"St George Illawarra (W)
DRAGONS","Brisbane (W)
BRONCOS",9,HK,False
0,30142,44904,"Brisbane (W)
BRONCOS","St George Illawarra (W)
DRAGONS",9,HK,False
0,30140,44904,"St George Illawarra (W)
DRAGONS","Brisbane (W)
BRONCOS",10,FR,False
0,30204,44904,"Brisbane (W)
BRONCOS","St George Illawarra (W)
DRAGONS",10,FR,False
0,30158,44904,"St George Illawarra (W)
DRAGONS","Brisbane (W)
BRONCOS",11,2R,True
0,30160,44904,"Brisbane (W)
BRONCOS","St George Illawarra (W)
DRAGONS",11,2R,False
0,30198,44904,"St George Illawarra (W)
DRAGONS","Brisbane (W)
BRONCOS",12,2R,False
0,30103,44904,"Brisbane (W)
BRONCOS","St George Illawarra (W)
DRAGONS",12,2R,False
0,30159,44904,"St George Illawarra (W)
DRAGONS","Brisbane (W)
BRONCOS",13,L,False
0,30141,44904,"Brisbane (W)
BRONCOS","St George Illawarra (W)
DRAGONS",13,L,False
0,30161,44904,"St George Illawarra (W)
DRAGONS","Brisbane (W)
BRONCOS",14,B,False
0,30205,44904,"Brisbane (W)
BRONCOS","St George Illawarra (W)
DRAGONS",14,B,False
0,30199,44904,"St George Illawarra (W)
DRAGONS","Brisbane (W)
BRONCOS",15,B,False
0,30138,44904,"Brisbane (W)
BRONCOS","St George Illawarra (W)
DRAGONS",15,B,False
0,30200,44904,"St George Illawarra (W)
DRAGONS","Brisbane (W)
BRONCOS",16,B,False
0,30144,44904,"Brisbane (W)
BRONCOS","St George Illawarra (W)
DRAGONS",16,B,False
0,30145,44904,"St George Illawarra (W)
DRAGONS","Brisbane (W)
BRONCOS",17,B,False
0,30206,44904,"Brisbane (W)
BRONCOS","St George Illawarra (W)
DRAGONS",17,B,False
0,30129,44905,"Brisbane (W)
BRONCOS","Sydney (W)
ROOSTERS",1,FB,False
0,30182,44905,"Sydney (W)
ROOSTERS","Brisbane (W)
BRONCOS",1,FB,False
0,30130,44905,"Brisbane (W)
BRONCOS","Sydney (W)
ROOSTERS",2,W,False
0,30097,44905,"Sydney (W)
ROOSTERS","Brisbane (W)
BRONCOS",2,W,False
0,30202,44905,"Brisbane (W)
BRONCOS","Sydney (W)
ROOSTERS",3,C,False
0,30095,44905,"Sydney (W)
ROOSTERS","Brisbane (W)
BRONCOS",3,C,False
0,30132,44905,"Brisbane (W)
BRONCOS","Sydney (W)
ROOSTERS",4,C,False
0,30096,44905,"Sydney (W)
ROOSTERS","Brisbane (W)
BRONCOS",4,C,False
0,30133,44905,"Brisbane (W)
BRONCOS","Sydney (W)
ROOSTERS",5,W,False
0,30183,44905,"Sydney (W)
ROOSTERS","Brisbane (W)
BRONCOS",5,W,False
0,30154,44905,"Brisbane (W)
BRONCOS","Sydney (W)
ROOSTERS",6,FE,False
0,30105,44905,"Sydney (W)
ROOSTERS","Brisbane (W)
BRONCOS",14,FE,False
0,30135,44905,"Brisbane (W)
BRONCOS","Sydney (W)
ROOSTERS",7,HB,True
0,30207,44905,"Sydney (W)
ROOSTERS","Brisbane (W)
BRONCOS",7,HB,False
0,30203,44905,"Brisbane (W)
BRONCOS","Sydney (W)
ROOSTERS",8,FR,False
0,30166,44905,"Sydney (W)
ROOSTERS","Brisbane (W)
BRONCOS",8,FR,True
0,30142,44905,"Brisbane (W)
BRONCOS","Sydney (W)
ROOSTERS",9,HK,False
0,30106,44905,"Sydney (W)
ROOSTERS","Brisbane (W)
BRONCOS",9,HK,False
0,30204,44905,"Brisbane (W)
BRONCOS","Sydney (W)
ROOSTERS",10,FR,False
0,30104,44905,"Sydney (W)
ROOSTERS","Brisbane (W)
BRONCOS",10,FR,False
0,30160,44905,"Brisbane (W)
BRONCOS","Sydney (W)
ROOSTERS",11,2R,False
0,30175,44905,"Sydney (W)
ROOSTERS","Brisbane (W)
BRONCOS",11,2R,False
0,30103,44905,"Brisbane (W)
BRONCOS","Sydney (W)
ROOSTERS",12,2R,False
0,30163,44905,"Sydney (W)
ROOSTERS","Brisbane (W)
BRONCOS",12,2R,False
0,30141,44905,"Brisbane (W)
BRONCOS","Sydney (W)
ROOSTERS",13,L,False
0,30100,44905,"Sydney (W)
ROOSTERS","Brisbane (W)
BRONCOS",13,L,False
0,30205,44905,"Brisbane (W)
BRONCOS","Sydney (W)
ROOSTERS",14,B,False
0,30184,44905,"Sydney (W)
ROOSTERS","Brisbane (W)
BRONCOS",6,B,False
0,30138,44905,"Brisbane (W)
BRONCOS","Sydney (W)
ROOSTERS",15,B,False
0,30185,44905,"Sydney (W)
ROOSTERS","Brisbane (W)
BRONCOS",15,B,False
0,30144,44905,"Brisbane (W)
BRONCOS","Sydney (W)
ROOSTERS",16,B,False
0,30186,44905,"Sydney (W)
ROOSTERS","Brisbane (W)
BRONCOS",16,B,False
0,30143,44905,"Brisbane (W)
BRONCOS","Sydney (W)
ROOSTERS",17,B,False
0,30187,44905,"Sydney (W)
ROOSTERS","Brisbane (W)
BRONCOS",17,B,False
0,30110,44906,NEW ZEALAND WARRIORS (W),"St George Illawarra (W)
DRAGONS",1,FB,False
0,30093,44906,"St George Illawarra (W)
DRAGONS",NEW ZEALAND WARRIORS (W),1,FB,False
0,30114,44906,NEW ZEALAND WARRIORS (W),"St George Illawarra (W)
DRAGONS",2,W,False
0,30149,44906,"St George Illawarra (W)
DRAGONS",NEW ZEALAND WARRIORS (W),19,W,False
0,30189,44906,NEW ZEALAND WARRIORS (W),"St George Illawarra (W)
DRAGONS",3,C,False
0,30150,44906,"St George Illawarra (W)
DRAGONS",NEW ZEALAND WARRIORS (W),3,C,False
0,30188,44906,NEW ZEALAND WARRIORS (W),"St George Illawarra (W)
DRAGONS",4,C,False
0,30197,44906,"St George Illawarra (W)
DRAGONS",NEW ZEALAND WARRIORS (W),4,C,False
0,30208,44906,NEW ZEALAND WARRIORS (W),"St George Illawarra (W)
DRAGONS",18,W,False
0,30152,44906,"St George Illawarra (W)
DRAGONS",NEW ZEALAND WARRIORS (W),5,W,False
